order_item_id,order_id,item_id,quantity,unit_price,discount,line_total,last_updated
OI001,ORD001,ITEM001,2,30,0,60,2024-01-15
OI002,ORD001,ITEM028,2,25,0,50,2024-01-15
OI003,ORD001,ITEM006,1,35,0,35,2024-01-15
OI004,ORD002,ITEM002,1,60,10,50,2024-01-15
OI005,ORD002,ITEM028,1,25,0,25,2024-01-15
OI006,ORD003,ITEM012,2,120,0,240,2024-01-15
OI007,ORD003,ITEM040,1,30,0,30,2024-01-15
OI008,ORD003,ITEM032,2,20,0,40,2024-01-15
OI009,ORD004,ITEM005,1,50,0,50,2024-01-16
OI010,ORD004,ITEM028,1,25,0,25,2024-01-16
OI011,ORD005,ITEM017,1,180,0,180,2024-01-16
OI012,ORD005,ITEM019,1,140,0,140,2024-01-16
OI013,ORD005,ITEM021,1,160,20,140,2024-01-16
OI014,ORD005,ITEM030,1,50,0,50,2024-01-16
OI015,ORD005,ITEM032,2,20,0,40,2024-01-16
OI016,ORD006,ITEM001,2,30,0,60,2024-01-17
OI017,ORD006,ITEM007,1,45,0,45,2024-01-17
OI018,ORD006,ITEM028,1,25,0,25,2024-01-17
OI019,ORD007,ITEM012,2,120,0,240,2024-01-17
OI020,ORD007,ITEM017,1,180,50,130,2024-01-17
OI021,ORD007,ITEM021,1,160,0,160,2024-01-17
OI022,ORD007,ITEM028,2,25,0,50,2024-01-17
OI023,ORD007,ITEM032,2,20,0,40,2024-01-17
OI024,ORD007,ITEM040,1,30,0,30,2024-01-17
OI025,ORD008,ITEM002,1,60,0,60,2024-01-18
OI026,ORD008,ITEM029,1,15,0,15,2024-01-18
OI027,ORD009,ITEM013,1,80,0,80,2024-01-18
OI028,ORD009,ITEM036,1,140,0,140,2024-01-18
OI029,ORD009,ITEM032,1,20,0,20,2024-01-18
OI030,ORD010,ITEM001,2,30,0,60,2024-01-19
OI031,ORD010,ITEM006,1,35,0,35,2024-01-19
OI032,ORD010,ITEM007,1,45,0,45,2024-01-19
OI033,ORD010,ITEM028,2,25,0,50,2024-01-19
OI034,ORD011,ITEM018,1,220,0,220,2024-01-19
OI035,ORD011,ITEM012,1,120,0,120,2024-01-19
OI036,ORD011,ITEM022,1,120,30,90,2024-01-19
OI037,ORD011,ITEM030,1,50,0,50,2024-01-19
OI038,ORD011,ITEM033,1,60,0,60,2024-01-19
OI039,ORD012,ITEM002,1,60,0,60,2024-01-20
OI040,ORD012,ITEM029,1,15,0,15,2024-01-20
