order_id,customer_id,staff_id,order_date,order_time,table_no,order_type,num_items,total_amount,discount,net_amount,payment_mode,payment_status,last_updated
ORD041,CUST001,STF006,2024-02-10,08:45:00,T02,Dine-In,3,125,0,125,Cash,Paid,2024-02-10
ORD042,CUST005,STF007,2024-02-10,12:30:00,T04,Dine-In,5,490,50,440,Card,Paid,2024-02-10
ORD043,CUST011,STF008,2024-02-11,09:00:00,T01,Takeaway,2,95,0,95,UPI,Paid,2024-02-11
ORD044,CUST015,STF009,2024-02-11,13:00:00,T05,Dine-In,4,320,0,320,Cash,Paid,2024-02-11
ORD045,CUST022,STF010,2024-02-12,08:30:00,T03,Dine-In,3,185,0,185,UPI,Paid,2024-02-12
ORD046,CUST025,STF006,2024-02-12,12:00:00,T02,Dine-In,6,640,60,580,Card,Paid,2024-02-12
ORD047,CUST031,STF007,2024-02-13,09:15:00,T04,Takeaway,2,110,0,110,Cash,Paid,2024-02-13
ORD048,CUST033,STF008,2024-02-14,13:30:00,T01,Dine-In,5,580,0,580,UPI,Paid,2024-02-14
ORD049,CUST041,STF009,2024-02-22,12:00:00,T03,Dine-In,3,145,0,145,Cash,Paid,2024-02-22
ORD050,CUST042,STF010,2024-02-24,09:00:00,T02,Takeaway,2,80,0,80,UPI,Paid,2024-02-24
